slug,address,suburb,price_guide,sale_method,price_lens,fair_value_estimate,likely_transaction_range,price_risk_score,affordability_read,bedrooms,bathrooms,car_spaces,land_m2,estimated_internal_area_m2,study_score,room_spaciousness_score,ensuite_score,kitchen_storage_score,shared_bathroom_score,low_maintenance_score,light_orientation_score,overall_fit_score,in_person_visited,in_person_overall_score,in_person_price_ceiling,status,next_action,assessment_layer,legal_risk_score,contract_watchpoints,pre_visit_confidence,public_listing_url
1-buick-crescent-mill-park,"1 Buick Crescent, Mill Park VIC 3082",Mill Park,"740000-790000","Auction campaign","Benchmark from inspected target; comfortable only if it stays near low-$800s","805000-840000","790000-850000",8,"Inside FHBG and close to comfort band; do not chase if competition moves it materially above $830k",3,2,3,303,"130-145 internal; 20.4 garage; 40-55 covered alfresco estimate",10,8,6,8,8,9,8,82,2026-05-02,85,830000,"Primary target","Section 32 review; building/pest inspection; pre-auction offer via Jay Moxon (Barry Plant)","AI + in-person",8,"Existing assessed property; keep Buick as benchmark for WIR/laundry/study/covered alfresco",high,"https://www.realestate.com.au/property-house-vic-mill+park-151041872"
31-st-hellier-street-heidelberg-heights,"31 St Hellier Street, Heidelberg Heights VIC 3081",Heidelberg Heights,"840000-880000","Sold auction","Observed comp: sold 2 May 2026 at $997k, guide-top plus about 13%","950000-1000000","997000 observed",2,"Outside practical affordability and above the FHBG hard cap if repeated; use only as auction-uplift calibration",3,2,2,303,"105-120 internal estimate; 166 reported floor area; 31.2 garage",5,6,6,9,8,7,8,76,2026-05-02,65,800000,"Sold — auction observed (comp only)","SOLD 2 May 2026 at $997k. Not pursuing. Comp: top of guide + 10-13% = expected clearance model for high-demand inner-north stock.","AI + in-person",8,"Sold comp only; no longer active target",high,"https://www.realestate.com.au/property-house-vic-heidelberg+heights-150808984"
10-northbridge-road-highton,"10 Northbridge Road, Highton VIC 3216",Highton,"775000-795000","Auction campaign","Regional value option; guide looks plausible but contract and overlay checks still matter","790000-830000","790000-850000",8,"Within comfort band if bought below low-$830s; Geelong commute remains the bigger affordability-of-life cost",4,2,2,322,"140-155 internal estimate from floorplan; 34m2 garage",9,8,7,8,8,9,9,86,,,,"Shortlisted for Saturday visit","Inspect Saturday; verify study nook usability, courtyard coverage, room feel, summer heat control, and covenant/overlay implications with conveyancer.","AI pre-visit with saved photos/floorplan",7,"Covenant AJ739795K; GRZ1 plus RXO/DDO13/DDO14/DPO6 overlays; Barwon Water sewer main shown on plan",high,"https://www.domain.com.au/10-northbridge-road-highton-vic-3216-2020803223"
23-arbour-grove-belmont,"23 Arbour Grove, Belmont VIC 3216",Belmont,"779000-829000","Private/agent campaign","Good new-home utility but only compelling below $750k because of title/common-property concerns","740000-800000","750000-830000",6,"Comfortable only if discounted; at guide it competes with cleaner-title choices and loses the FHOG angle if above $750k",4,3,1,239,"135-150 internal estimate from floorplan; 21m2 oversized single garage",8,8,8,8,9,9,8,84,,,,"Shortlisted; strong home fit but legal/title structure needs checking","Inspect only if common-property/body-corporate risk is acceptable; ask agent/conveyancer whether it violates the hard filter.","AI pre-visit with saved photos/floorplan",4,"Scanned contract; plan shows Common Property No. 1; telephone services marked not connected; developer/corporate vendor",high-for-visuals-medium-overall,"https://www.realestate.com.au/property-house-vic-belmont-149793436"
44-waurnvale-drive-belmont,"44 Waurnvale Drive, Belmont VIC 3216",Belmont,"779000-799000","Private/agent campaign","Value and internal-space benchmark; older large-block discount should be demanded","760000-800000","770000-820000",7,"Financially workable if bought near guide; still carries renovation and maintenance costs that reduce true affordability",3,2,2,653,"150 ground floor plus 22m2 garage per floorplan",8,7,6,7,8,5,8,76,,,,"Shortlisted as value/space benchmark; older large-block mismatch remains","Inspect as a value benchmark; decide whether renovated interior and strong office outweigh older build and 653m2 maintenance burden.","AI pre-visit with saved photos/floorplan",8,"No owners corporation; GRZ4 no overlays; supplied owner-builder report found no defects for Jan 2026 wet-area/floor/paint works",high,"https://www.realestate.com.au/property-house-vic-belmont-150315788"
1-cardinal-close-mill-park,"1 Cardinal Close, Mill Park VIC 3082",Mill Park,"695000-764500","Auction campaign","Low guide but land-heavy older stock; should only win on price","730000-780000","740000-810000",8,"Inside comfort band if it clears around low-to-mid $700s; not worth stretching because fit is weaker than Buick",3,2,2,801,"146m2 reported floor area; 125-140m2 internal living estimate from floorplan",5,6,5,7,8,3,6,69,,,,"Newly assessed; value/land-heavy Mill Park option, weaker lifestyle fit than Buick","Inspect only if the price stays meaningfully below Buick; verify whether the large yard, no dedicated study, older shell and compact ensuite are acceptable tradeoffs.","AI pre-visit with saved photos/floorplan",6,"No contract reviewed yet; property.com.au shows no bushfire/flood/heritage overlays, but Section 32 still needed for title, easements, renovations and permits.",high-for-visuals-medium-overall,"https://www.meprop.com.au/property?property_id=1757899"
11-archer-place-mill-park,"11 Archer Place, Mill Park VIC 3082",Mill Park,"850000-925000","EOI / private campaign","Strong family layout but guide already sits above comfort; EOI can still transact above guide high","890000-950000","900000-980000",4,"Likely inside FHBG only if disciplined below $950k, but above the $830k-$850k comfort zone and weakens upgrade buffer",3,2,2,697,"155-175 internal estimate from floorplan plus 55m2 double garage",10,8,6,7,8,4,7,78,,,900000,"New Mill Park candidate; strong study/living but price and maintenance risk","Inspect only if you are prepared to reject above low-$900s; verify older-condition items, kitchen age and how much of the 697m2 block becomes maintenance.","AI pre-visit with saved photos/floorplan and price lens",6,"No contract reviewed yet. Need Section 32 for easements, permits, roof/heating/cooling age and any pool/spa/shed structures.",high,"https://www.jelliscraig.com.au/property-details-11-Archer-Place-Mill-Park/1898991"
2-hartley-court-mill-park,"2 Hartley Court, Mill Park VIC 3082",Mill Park,"800000-880000","Auction campaign","Best layout of the new batch, but auction competition can move it toward or above the comfort ceiling","840000-910000","860000-950000",5,"Potentially workable if below high-$800s; becomes uncomfortable if auction pushes into low-$900s",4,2,2,660,"165-185 internal estimate from floorplan plus 32m2 double garage",8,8,7,8,8,5,7,82,,,880000,"Strong fit; watch auction price and yard maintenance","High-priority inspection candidate if the guide is real. Verify title/type, backyard burden, kitchen storage depth and whether the upstairs retreat can carry WFH.","AI pre-visit with saved photos/floorplan and price lens",6,"No contract reviewed yet. Need Section 32/title, easements, renovation permits and any pool/spa or deck/pergola approvals.",high-for-visuals-medium-overall,"https://realsearch.com.au/house-2-hartley-court-mill-park-vic-3082"
18-streeton-circuit-mill-park,"18 Streeton Circuit, Mill Park VIC 3082",Mill Park,"720000-790000","Auction campaign","Comparable older Mill Park value option; 4th bedroom helps but layout/condition are more basic","760000-820000","780000-860000",7,"Could sit within comfort if competition stays disciplined; do not pay Buick-level money for the older/yard-heavy tradeoff",4,2,2,603,"125-140 internal estimate from floorplan",6,6,5,7,8,4,6,72,,,810000,"Value candidate; older shell and large-yard mismatch","Inspect if schedule allows. Treat as a price benchmark and reject if it approaches stronger-fit properties.","AI pre-visit with saved photos/floorplan and price lens",6,"No contract reviewed yet. Need Section 32 for easements, renovations and roof/drainage age.",high-for-visuals-medium-overall,"https://realsearch.com.au/house-18-streeton-circuit-mill-park-vic-3082"
5-berala-place-mill-park,"5 Berala Place, Mill Park VIC 3082",Mill Park,"sold-820000","Sold 1 May 2026","Direct Mill Park comp: 4 bed / 2 bath / study on 575m2 sold for $820k","805000-835000","820000 observed",9,"Excellent affordability comp, but not active. Use it to discipline offers on older Mill Park family homes.",4,2,2,575,"145-160 internal estimate from floorplan",9,7,6,7,8,5,7,76,,,,"Sold comp; useful benchmark for the new Mill Park batch","Use as the anchor comp: if a broadly similar older Mill Park property lacks meaningful superiority, be wary of paying materially above $820k.","AI assessment of sold listing/photos/floorplan",7,"Sold listing only; no contract reviewed. Use as price benchmark, not purchase target.",high,"https://www.barryplant.com.au/sold-properties/5-berala-place-mill-park-vic-3082-201979/"
2a-macadam-street-daylesford,"2A Macadam Street, Daylesford VIC 3460",Daylesford,"825000","Private sale","Charming renovated cottage, but poor functional and location fit for current main-home criteria","770000-825000","800000-850000",5,"Price is within broad cap but not good value for your actual use case because it fails the 2-bath/commute/family-space tests",3,1,4,447,"95-115 internal estimate; listing describes 2 bed plus office/studio",8,5,2,6,3,7,7,48,,,750000,"Lifestyle mismatch; not recommended for current search","Reject for current main-home criteria unless the search brief changes toward Daylesford lifestyle/investment.","AI pre-visit with saved photos/floorplan and price lens",6,"No contract reviewed yet. Main risk is not legal; it is criteria mismatch and distance from work/family anchors.",high-for-visuals-medium-overall,"https://www.belleproperty.com/listings/2a-macadam-street-daylesford-vic-3460-YLMJEm0b"
18-westwood-drive-mill-park,"18 Westwood Drive, Mill Park VIC 3082",Mill Park,"700000-770000","Auction campaign","Compact low-maintenance townhouse-like option; price may be attractive but hard-filter/type risk is material","740000-800000","760000-840000",7,"Potentially comfortable on price, but only if title/body-corporate/shared-wall concerns do not breach the freestanding-house filter",4,2,2,241,"150-170 internal estimate from floorplan over two levels",7,8,8,7,8,9,6,70,,,790000,"Townhouse-like low-maintenance option; hard-filter risk","Inspect only if you are open to townhouse-like/terrace living. Confirm title, owners corporation, shared walls and insurance obligations before treating it as viable.","AI pre-visit with saved photos/floorplan and price lens",3,"Listing itself calls it a townhouse. Section 32/title and owners corporation position are essential before any further work.",high-for-visuals-medium-overall,"https://www.barryplant.com.au/for-sale/18-westwood-drive-mill-park-vic-3082-203143/"
20-northampton-crescent-caroline-springs,"20 Northampton Crescent, Caroline Springs VIC 3023",Caroline Springs,"unknown","Unknown / needs live listing URL","Insufficient live listing data found; do not score confidently until URL or alert email arrives","780000-880000 low-confidence","unknown",3,"Cannot assess affordability properly without current guide, sale method, photos/floorplan and land/build area. Caroline Springs may fit budget, but evidence is missing.",3,2,2,550,"unknown",3,5,5,5,7,5,5,50,,,,"Low-confidence placeholder; needs source listing","Send the live listing URL or email alert. Current local assets are placeholders and should not be used for visual judgement.","Low-confidence placeholder only",2,"No reliable listing, floorplan or photos captured yet; do not rely on this row for purchase decisions.",low,""
